filepath,EPS
0001008654-20-000048.html,0.16
0001140361-20-010070.html,0.43
0001193125-20-124288.html,2.01
0001299709-20-000078.html,0.91
0001104659-20-052792.html,0.03
0000892537-20-000010.html,0.71
0001564590-20-019755.html,2.0
0001193125-20-124568.html,0.3
0001323885-20-000027.html,-0.42
0001564590-20-019431.html,1.08
0001620459-20-000067.html,0.51
0001141391-20-000089.html,1.68
0000875320-20-000014.html,2.32
0001720635-20-000018.html,0.11
0000008947-20-000044.html,0.41
0001564590-20-019396.html,3.15
0001165002-20-000083.html,0.13
0000939057-20-000186.html,0.61
0000895419-20-000042.html,-0.57
0000706129-20-000012.html,0.26
0000004977-20-000054.html,0.78
0001157523-20-000599.html,0.56
0001564590-20-019421.html,0.24
0001193125-20-126089.html,1.41
0001193125-20-126683.html,1.52
0001423689-20-000040.html,4.46
0001171843-20-003035.html,6.79
0001373715-20-000098.html,0.25
0001104659-20-053353.html,0.65
0001157523-20-000597.html,-0.03
0001104659-20-053534.html,0.66
0001104659-20-053563.html,3.17
0000046080-20-000050.html,-6.1
0001289945-20-000036.html,0.24
0001564590-20-019726.html,0.08
0001691303-20-000019.html,0.42
0001564590-20-019442.html,1.0
0001576427-20-000032.html,0.3
0001564590-20-019760.html,2.21
0000066570-20-000013.html,1.12
0001157523-20-000600.html,0.11
0001722482-20-000089.html,0.05
0000314808-20-000062.html,1.09
0001678463-20-000062.html,0.22
0000846617-20-000024.html,0.47
0001538263-20-000014.html,-1.0
0000950103-20-008424.html,0.24
0000874766-20-000033.html,
0001104659-20-052683.html,0.42
0001436425-20-000011.html,0.21
